   image:     PRI      VOI      GcE      BDE     
   42012:  0.885109   3.549984   0.245538   8.037291
   42044:  0.931352   1.805912   0.187285   8.082046
   42049:  0.947415   1.130276   0.053420   4.333978
   42078:  0.671866   2.586295   0.103075   12.952471
   43070:  0.222455   5.273309   0.080573   24.116987
   43074:  0.854984   1.354643   0.141076   14.247046
   43083:  0.604495   3.701799   0.275713   18.640423
   45077:  0.805378   2.255021   0.165195   14.941750
   45096:  0.653093   2.410040   0.127785   9.080546
   46076:  0.863259   1.782095   0.173990   11.064072
   48055:  0.898228   1.284540   0.114768   10.183036
   54005:  0.422849   4.866290   0.074715   20.895060
   54082:  0.831034   2.696550   0.241873   8.515368
   55067:  0.894991   0.946961   0.034316   5.447392
   55073:  0.827228   3.697406   0.179516   14.107516
   55075:  0.924015   2.146753   0.095417   8.210234
   56028:  0.687553   3.234424   0.255259   12.212273
   58060:  0.757484   2.620135   0.265451   11.375297
   59078:  0.915920   2.316759   0.216941   7.547178
   60079:  0.962783   0.320993   0.026849   16.055981
   61060:  0.620738   2.693031   0.242176   15.635318
   61086:  0.854807   2.974248   0.080587   13.974099
   62096:  0.814807   1.536391   0.068400   25.124470
   65010:  0.804833   2.743659   0.203229   11.803132
   65019:  0.949939   3.173166   0.082053   4.588538
   65033:  0.805088   4.457641   0.104907   13.712045
   65074:  0.948893   2.304957   0.104101   4.305287
   65132:  0.853111   3.312173   0.140782   10.992037
   66039:  0.686220   3.545377   0.173217   17.171097
   66053:  0.806143   3.250511   0.214704   12.391099
   66075:  0.655438   1.823102   0.094466   15.062556
   67079:  0.739647   2.598535   0.250013   8.298726
   68077:  0.799363   2.015171   0.100197   6.450384
   69015:  0.838791   3.608517   0.115215   7.237050
   69020:  0.809677   2.360670   0.191301   12.304497
   69040:  0.490768   2.608232   0.268532   43.784279
   71046:  0.954932   1.173518   0.129340   6.472246
   76002:  0.906233   2.770873   0.132417   5.826079
   76053:  0.595621   3.584475   0.264083   17.294651
   78004:  0.920953   1.813781   0.174611   6.563297
   78019:  0.915297   2.595047   0.230062   5.630403
   80099:  0.773673   0.681092   0.018251   79.490288
    8023:  0.654232   2.221888   0.077111   28.700201
    8049:  0.900192   2.072404   0.112544   6.028852
    8143:  0.777415   5.084339   0.148400   9.487820
   85048:  0.904327   3.287093   0.125413   7.274592
   86000:  0.864406   1.530657   0.154574   9.999308
   86016:  0.498171   2.229620   0.011868   15.664347
   86068:  0.437378   2.274909   0.114838   24.949360
   87046:  0.500067   2.739776   0.318522   13.501444
   87065:  0.587301   4.684483   0.212209   21.776030
   89072:  0.860057   3.076151   0.207731   10.229733
   90076:  0.955348   1.156551   0.058439   5.497007
   92059:  0.790087   2.102507   0.078554   17.020592
   94079:  0.841168   1.017511   0.134402   14.171860
   95006:  0.773958   3.494679   0.167328   16.319134
   97017:  0.906399   1.722732   0.106904   7.873100
   97033:  0.758587   3.381076   0.115091   19.481747
 Average:  0.792187   2.524682   0.153217   13.398802 
